value,medical_category,risk_level,z_score
1475.0,Very Low Birth Weight (VLBW),Very High,3.01
1475.0,Very Low Birth Weight (VLBW),Very High,3.01
1475.0,Very Low Birth Weight (VLBW),Very High,3.01
1475.0,Very Low Birth Weight (VLBW),Very High,3.01
1475.0,Very Low Birth Weight (VLBW),Very High,3.01
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1470.0,Very Low Birth Weight (VLBW),Very High,3.02
1469.0,Very Low Birth Weight (VLBW),Very High,3.02
1466.0,Very Low Birth Weight (VLBW),Very High,3.03
1465.0,Very Low Birth Weight (VLBW),Very High,3.03
1465.0,Very Low Birth Weight (VLBW),Very High,3.03
1465.0,Very Low Birth Weight (VLBW),Very High,3.03
1465.0,Very Low Birth Weight (VLBW),Very High,3.03
1465.0,Very Low Birth Weight (VLBW),Very High,3.03
1465.0,Very Low Birth Weight (VLBW),Very High,3.03
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1460.0,Very Low Birth Weight (VLBW),Very High,3.04
1457.0,Very Low Birth Weight (VLBW),Very High,3.04
1455.0,Very Low Birth Weight (VLBW),Very High,3.05
1455.0,Very Low Birth Weight (VLBW),Very High,3.05
1455.0,Very Low Birth Weight (VLBW),Very High,3.05
1455.0,Very Low Birth Weight (VLBW),Very High,3.05
1455.0,Very Low Birth Weight (VLBW),Very High,3.05
1455.0,Very Low Birth Weight (VLBW),Very High,3.05
1455.0,Very Low Birth Weight (VLBW),Very High,3.05
1455.0,Very Low Birth Weight (VLBW),Very High,3.05
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
1450.0,Very Low Birth Weight (VLBW),Very High,3.06
